group_number,product_tp,credit_seg,fico_grp,SA_SE,used_in_3mth,okr_type,quarter,okr,modified_okr,remark,cohort_type,n_M00,a_lmt_M00,current_pct_bad,reduced_ratio
1,CC,1]NTB,01]No-FICO,01]SA,Y,a_lmt_91pM04,q2,0.09260663363841301,0.09260663363841301,nan,CP,3823.0,162371000.0,0.09754204876486565,0.9494021789684782
2,CC,1]NTB,01]No-FICO,01]SA,Y,a_lmt_91pM04,q3,0.08480818027938876,0.08480818027938876,nan,CP,3823.0,162371000.0,0.09754204876486565,0.8694525217921854
3,CC,1]NTB,01]No-FICO,01]SA,Y,a_lmt_91pM04,q4,0.0770097269203645,0.0770097269203645,nan,CP,3823.0,162371000.0,0.09754204876486565,0.7895028646158924
4,CC,1]NTB,01]No-FICO,01]SA,Y,a_lmt_61pM03,q2,0.09517993113412891,0.09517993113412891,nan,CP,3823.0,162371000.0,0.10028884468285593,0.9490580077486886
5,CC,1]NTB,01]No-FICO,01]SA,Y,a_lmt_61pM03,q3,0.08719503758260803,0.08719503758260803,nan,CP,3823.0,162371000.0,0.10028884468285593,0.8694390473670873
6,CC,1]NTB,01]No-FICO,01]SA,Y,a_lmt_61pM03,q4,0.07921014403108716,0.07921014403108716,nan,CP,3823.0,162371000.0,0.10028884468285593,0.7898200869854859
7,CC,1]NTB,01]No-FICO,01]SA,Y,a_lmt_fpd,q2,0.1484835429572337,0.1484835429572337,nan,CP,3823.0,162371000.0,0.15656736732544604,0.9483683956222562
8,CC,1]NTB,01]No-FICO,01]SA,Y,a_lmt_fpd,q3,0.13617272467482347,0.13617272467482347,nan,CP,3823.0,162371000.0,0.15656736732544604,0.8697388670512062
9,CC,1]NTB,01]No-FICO,01]SA,Y,a_lmt_fpd,q4,0.1236106652029763,0.1236106652029763,nan,CP,3823.0,162371000.0,0.15656736732544604,0.7895046542236042
10,CC,1]NTB,01]No-FICO,01]SA,N,a_lmt_91pM04,q2,0.0,0.0,filled_by_consolidated_okr,CP,4261.0,146943000.0,0.0,0.9494021789684782
11,CC,1]NTB,01]No-FICO,01]SA,N,a_lmt_91pM04,q3,0.0,0.0,filled_by_consolidated_okr,CP,4261.0,146943000.0,0.0,0.8694525217921854
12,CC,1]NTB,01]No-FICO,01]SA,N,a_lmt_91pM04,q4,0.0,0.0,filled_by_consolidated_okr,CP,4261.0,146943000.0,0.0,0.7895028646158924
13,CC,1]NTB,01]No-FICO,01]SA,N,a_lmt_61pM03,q2,0.0,0.0,filled_by_consolidated_okr,CP,4261.0,146943000.0,0.0,0.9490580077486886
14,CC,1]NTB,01]No-FICO,01]SA,N,a_lmt_61pM03,q3,0.0,0.0,filled_by_consolidated_okr,CP,4261.0,146943000.0,0.0,0.8694390473670873
15,CC,1]NTB,01]No-FICO,01]SA,N,a_lmt_61pM03,q4,0.0,0.0,filled_by_consolidated_okr,CP,4261.0,146943000.0,0.0,0.7898200869854859
16,CC,1]NTB,01]No-FICO,01]SA,N,a_lmt_fpd,q2,0.0,0.0,filled_by_consolidated_okr,CP,4261.0,146943000.0,0.0,0.9483683956222562
17,CC,1]NTB,01]No-FICO,01]SA,N,a_lmt_fpd,q3,0.0,0.0,filled_by_consolidated_okr,CP,4261.0,146943000.0,0.0,0.8697388670512062
18,CC,1]NTB,01]No-FICO,01]SA,N,a_lmt_fpd,q4,0.0,0.0,filled_by_consolidated_okr,CP,4261.0,146943000.0,0.0,0.7895046542236042
19,CC,1]NTB,01]No-FICO,01]SA,ALL,a_lmt_91pM04,q2,0.0486128390907064,0.0486128390907064,nan,CP,8084.0,309314000.0,0.0512036312614366,0.9494021789684782
20,CC,1]NTB,01]No-FICO,01]SA,ALL,a_lmt_91pM04,q3,0.04451912632517323,0.04451912632517323,nan,CP,8084.0,309314000.0,0.0512036312614366,0.8694525217921854
21,CC,1]NTB,01]No-FICO,01]SA,ALL,a_lmt_91pM04,q4,0.04042541355964006,0.04042541355964006,nan,CP,8084.0,309314000.0,0.0512036312614366,0.7895028646158924
22,CC,1]NTB,01]No-FICO,01]SA,ALL,a_lmt_61pM03,q2,0.049963663455839843,0.049963663455839843,nan,CP,8084.0,309314000.0,0.05264553172504316,0.9490580077486886
23,CC,1]NTB,01]No-FICO,01]SA,ALL,a_lmt_61pM03,q3,0.0457720809511553,0.0457720809511553,nan,CP,8084.0,309314000.0,0.05264553172504316,0.8694390473670873
24,CC,1]NTB,01]No-FICO,01]SA,ALL,a_lmt_61pM03,q4,0.04158049844647074,0.04158049844647074,nan,CP,8084.0,309314000.0,0.05264553172504316,0.7898200869854859
25,CC,1]NTB,01]No-FICO,01]SA,ALL,a_lmt_fpd,q2,0.07794481127109991,0.07794481127109991,nan,CP,8084.0,309314000.0,0.08218832642557401,0.9483683956222562
26,CC,1]NTB,01]No-FICO,01]SA,ALL,a_lmt_fpd,q3,0.07148238191021346,0.07148238191021346,nan,CP,8084.0,309314000.0,0.08218832642557401,0.8697388670512062
27,CC,1]NTB,01]No-FICO,01]SA,ALL,a_lmt_fpd,q4,0.06488806623583952,0.06488806623583952,nan,CP,8084.0,309314000.0,0.08218832642557401,0.7895046542236042
28,CC,1]NTB,01]No-FICO,02]SE,Y,a_lmt_91pM04,q2,0.4442373066106772,0.4442373066106772,nan,CP,2308.0,333761000.0,0.46791266804689585,0.9494021789684782
29,CC,1]NTB,01]No-FICO,02]SE,Y,a_lmt_91pM04,q3,0.4068278492118833,0.4068278492118833,nan,CP,2308.0,333761000.0,0.46791266804689585,0.8694525217921854
30,CC,1]NTB,01]No-FICO,02]SE,Y,a_lmt_91pM04,q4,0.3694183918130894,0.3694183918130894,nan,CP,2308.0,333761000.0,0.46791266804689585,0.7895028646158924
31,CC,1]NTB,01]No-FICO,02]SE,Y,a_lmt_61pM03,q2,0.4486372798875523,0.4486372798875523,nan,CP,2308.0,333761000.0,0.4727185021617265,0.9490580077486886
32,CC,1]NTB,01]No-FICO,02]SE,Y,a_lmt_61pM03,q3,0.4109999241922879,0.4109999241922879,nan,CP,2308.0,333761000.0,0.4727185021617265,0.8694390473670873
33,CC,1]NTB,01]No-FICO,02]SE,Y,a_lmt_61pM03,q4,0.37336256849702343,0.37336256849702343,nan,CP,2308.0,333761000.0,0.4727185021617265,0.7898200869854859
34,CC,1]NTB,01]No-FICO,02]SE,Y,a_lmt_fpd,q2,0.5104909477761131,0.5104909477761131,nan,CP,2308.0,333761000.0,0.5382833824203547,0.9483683956222562
35,CC,1]NTB,01]No-FICO,02]SE,Y,a_lmt_fpd,q3,0.4681659791787704,0.4681659791787704,nan,CP,2308.0,333761000.0,0.5382833824203547,0.8697388670512062
36,CC,1]NTB,01]No-FICO,02]SE,Y,a_lmt_fpd,q4,0.4249772357120942,0.4249772357120942,nan,CP,2308.0,333761000.0,0.5382833824203547,0.7895046542236042
37,CC,1]NTB,01]No-FICO,02]SE,N,a_lmt_91pM04,q2,0.0,0.0,filled_by_consolidated_okr,CP,1065.0,152842000.0,0.0,0.9494021789684782
38,CC,1]NTB,01]No-FICO,02]SE,N,a_lmt_91pM04,q3,0.0,0.0,filled_by_consolidated_okr,CP,1065.0,152842000.0,0.0,0.8694525217921854
39,CC,1]NTB,01]No-FICO,02]SE,N,a_lmt_91pM04,q4,0.0,0.0,filled_by_consolidated_okr,CP,1065.0,152842000.0,0.0,0.7895028646158924
40,CC,1]NTB,01]No-FICO,02]SE,N,a_lmt_61pM03,q2,0.0,0.0,filled_by_consolidated_okr,CP,1065.0,152842000.0,0.0,0.9490580077486886
41,CC,1]NTB,01]No-FICO,02]SE,N,a_lmt_61pM03,q3,0.0,0.0,filled_by_consolidated_okr,CP,1065.0,152842000.0,0.0,0.8694390473670873
42,CC,1]NTB,01]No-FICO,02]SE,N,a_lmt_61pM03,q4,0.0,0.0,filled_by_consolidated_okr,CP,1065.0,152842000.0,0.0,0.7898200869854859
43,CC,1]NTB,01]No-FICO,02]SE,N,a_lmt_fpd,q2,0.0,0.0,filled_by_consolidated_okr,CP,1065.0,152842000.0,0.0,0.9483683956222562
44,CC,1]NTB,01]No-FICO,02]SE,N,a_lmt_fpd,q3,0.0,0.0,filled_by_consolidated_okr,CP,1065.0,152842000.0,0.0,0.8697388670512062
45,CC,1]NTB,01]No-FICO,02]SE,N,a_lmt_fpd,q4,0.0,0.0,filled_by_consolidated_okr,CP,1065.0,152842000.0,0.0,0.7895046542236042
46,CC,1]NTB,01]No-FICO,02]SE,ALL,a_lmt_91pM04,q2,0.30470237070401585,0.30470237070401585,nan,CP,3373.0,486603000.0,0.3209413012250233,0.9494021789684782
47,CC,1]NTB,01]No-FICO,02]SE,ALL,a_lmt_91pM04,q3,0.2790432236973619,0.2790432236973619,nan,CP,3373.0,486603000.0,0.3209413012250233,0.8694525217921854
48,CC,1]NTB,01]No-FICO,02]SE,ALL,a_lmt_91pM04,q4,0.2533840766907079,0.2533840766907079,nan,CP,3373.0,486603000.0,0.3209413012250233,0.7895028646158924
49,CC,1]NTB,01]No-FICO,02]SE,ALL,a_lmt_61pM03,q2,0.30772031239542164,0.30772031239542164,nan,CP,3373.0,486603000.0,0.3242376228671011,0.9490580077486886
50,CC,1]NTB,01]No-FICO,02]SE,ALL,a_lmt_61pM03,q3,0.28190484994614134,0.28190484994614134,nan,CP,3373.0,486603000.0,0.3242376228671011,0.8694390473670873
51,CC,1]NTB,01]No-FICO,02]SE,ALL,a_lmt_61pM03,q4,0.256089387496861,0.256089387496861,nan,CP,3373.0,486603000.0,0.3242376228671011,0.7898200869854859
52,CC,1]NTB,01]No-FICO,02]SE,ALL,a_lmt_fpd,q2,0.3501457434925459,0.3501457434925459,nan,CP,3373.0,486603000.0,0.36920857454639616,0.9483683956222562
53,CC,1]NTB,01]No-FICO,02]SE,ALL,a_lmt_fpd,q3,0.3211150473315734,0.3211150473315734,nan,CP,3373.0,486603000.0,0.36920857454639616,0.8697388670512062
54,CC,1]NTB,01]No-FICO,02]SE,ALL,a_lmt_fpd,q4,0.2914918879836423,0.2914918879836423,nan,CP,3373.0,486603000.0,0.36920857454639616,0.7895046542236042
55,CC,1]NTB,01]No-FICO,ALL,Y,a_lmt_91pM04,q2,0.32915780357281726,0.32915780357281726,nan,CP,6131.0,496132000.0,0.3467000717550974,0.9494021789684782
56,CC,1]NTB,01]No-FICO,ALL,Y,a_lmt_91pM04,q3,0.30143925169300106,0.30143925169300106,nan,CP,6131.0,496132000.0,0.3467000717550974,0.8694525217921854
57,CC,1]NTB,01]No-FICO,ALL,Y,a_lmt_91pM04,q4,0.27372069981318486,0.27372069981318486,nan,CP,6131.0,496132000.0,0.3467000717550974,0.7895028646158924
58,CC,1]NTB,01]No-FICO,ALL,Y,a_lmt_61pM03,q2,0.33295995374361864,0.33295995374361864,nan,CP,6131.0,496132000.0,0.35083203663541157,0.9490580077486886
59,CC,1]NTB,01]No-FICO,ALL,Y,a_lmt_61pM03,q3,0.3050270717181473,0.3050270717181473,nan,CP,6131.0,496132000.0,0.35083203663541157,0.8694390473670873
60,CC,1]NTB,01]No-FICO,ALL,Y,a_lmt_61pM03,q4,0.27709418969267596,0.27709418969267596,nan,CP,6131.0,496132000.0,0.35083203663541157,0.7898200869854859
