case_id,fraud_flag
SR-17806511-1,0
SR-17840733-1,0
SR-17841503-1,0
SR-17852909-1,0
SR-17861184-1,0
SR-17868019-1,0
SR-17869813-1,0
SR-17941567-1,0
SR-17942000-1,0
SR-17950027-1,0
SR-17969981-1,0
SR-17979720-1,0
SR-17989428-1,0
SR-18000158-1,0
SR-18078469-1,0
SR-18079253-1,0
SR-18217649-1,0
SR-18254412-1,0
SR-18336403-1,0
SR-18341228-1,0
SR-18353027-1,0
SR-18358235-1,0
SR-18363801-1,0
SR-18371276-1,0
SR-18373466-1,0
SR-18381811-1,0
SR-18383596-1,0
SR-18385729-1,0
SR-18390065-1,0
SR-18392207-1,0
SR-18394505-1,0
SR-18401478-1,0
SR-18402334-1,0
SR-18403874-1,0
SR-18406363-1,0
SR-18409371-1,0
SR-18411153-1,0
SR-18416482-1,0
SR-18430224-1,0
SR-18430909-1,0
SR-18431646-1,0
SR-18433806-1,0
SR-18433959-1,0
SR-18437243-1,0
SR-18442640-1,0
SR-18450622-1,0
SR-17854581-1,0
SR-17860274-1,0
SR-17914729-1,0
SR-17942394-1,0
SR-17973212-1,0
SR-17974022-1,0
SR-17985409-1,0
SR-17992367-1,0
SR-18001362-1,0
SR-18019283-1,0
SR-18035737-1,0
SR-18071617-1,0
SR-18093639-1,0
SR-18164657-1,0
SR-18229535-1,0
SR-18338448-1,0
SR-18343921-1,0
SR-18348873-1,0
SR-18362143-1,0
SR-18363588-1,0
SR-18363624-1,0
SR-18370730-1,0
SR-18371493-1,0
SR-18372154-1,0
SR-18381070-1,0
SR-18397322-1,0
SR-18407032-1,0
SR-18423827-1,0
SR-18429494-1,0
SR-18433623-1,0
SR-18433984-1,0
SR-18435478-1,0
SR-18435749-1,0
SR-18436130-1,0
SR-18438593-1,0
SR-18441995-1,0
SR-18442496-1,0
SR-18442764-1,0
SR-18443635-1,0
SR-18444418-1,0
SR-18446598-1,0
SR-18446611-1,0
SR-18446827-1,0
SR-18449209-1,0
SR-18457027-1,0
SR-18460904-1,0
SR-18461078-1,0
SR-18461964-1,0
SR-18463795-1,1
SR-18464524-1,0
SR-18464898-1,0
SR-18466661-1,0
SR-18469376-1,0
SR-17179599-1,0
SR-17819840-1,0
SR-17862872-1,0
SR-17866795-1,0
SR-17901108-1,0
SR-17956790-1,0
SR-17989386-1,0
SR-17993710-1,0
SR-18008184-1,0
SR-18030935-1,0
SR-18065501-1,0
SR-18065741-1,0
SR-18076781-1,0
SR-18098065-1,0
SR-18116740-1,0
SR-18190770-1,0
SR-18340425-1,0
SR-18350025-1,0
SR-18361147-1,0
SR-18362192-1,0
SR-18362631-1,0
SR-18362655-1,0
SR-18362905-1,0
SR-18364388-1,0
SR-18367987-1,0
SR-18370722-1,0
SR-18374593-1,0
SR-18375333-1,0
SR-18395615-1,0
SR-18402681-1,0
SR-18405986-1,0
SR-18410424-1,0
SR-18414036-1,0
SR-18414341-1,0
SR-18425993-1,0
SR-18428940-1,0
SR-18432194-1,0
SR-18433904-1,0
SR-18439319-1,0
SR-18444247-1,0
SR-18445452-1,0
SR-18448322-1,0
SR-18449308-1,0
SR-18450183-1,0
SR-18455091-1,0
SR-18457930-1,0
SR-18459313-1,0
SR-18464641-1,0
SR-18467009-1,0
SR-18468341-1,0
SR-18468464-1,0
SR-18475498-1,0
SR-17869432-1,0
SR-17880943-1,0
SR-17885447-1,0
SR-17917898-1,0
SR-17962265-1,0
SR-17979660-1,0
SR-17998291-1,0
SR-18070392-1,0
SR-18079695-1,0
SR-18225208-1,0
SR-18293005-1,0
SR-18334054-1,0
SR-18336470-1,0
SR-18358065-1,0
SR-18359659-1,0
SR-18360732-1,0
SR-18362118-1,0
SR-18371991-1,0
SR-18373413-1,0
SR-18373810-1,0
SR-18374287-1,0
SR-18374740-1,0
SR-18384729-1,0
SR-18388941-1,0
SR-18393810-1,0
SR-18394200-1,0
SR-18426841-1,0
SR-18426980-1,0
SR-18427245-1,0
SR-18427696-1,0
SR-18432531-1,0
SR-18433575-1,0
SR-18439731-1,0
SR-18439753-1,0
SR-18441045-1,0
SR-18441317-1,0
SR-18441355-1,0
SR-18441900-1,0
SR-18443114-1,0
SR-18444204-1,0
SR-18444263-1,0
SR-18447557-1,0
SR-18450660-1,0
SR-18454666-1,0
SR-18455407-1,0
SR-18458505-1,0
SR-18460703-1,0
SR-18464486-1,0
SR-18465953-1,0
SR-18466208-1,0
SR-17183764-1,0
SR-17180721-1,0
SR-17794312-1,0
SR-17832010-1,0
SR-17881717-1,0
SR-17898603-1,0
SR-17903632-1,0
SR-17909965-1,0
SR-17911958-1,0
SR-17916324-1,0
SR-17917202-1,0
SR-17917655-1,0
SR-17926060-1,0
SR-17937817-1,0
SR-17945799-1,0
SR-17960982-1,0
SR-17974588-1,0
SR-17989121-1,0
SR-17999388-1,0
SR-18012859-1,0
SR-18046538-1,0
SR-18083577-1,0
SR-18094143-1,0
SR-18290919-1,0
SR-18343957-1,0
SR-18352802-1,0
SR-18357179-1,0
SR-18359841-1,0
SR-18362235-1,0
SR-18362434-1,0
SR-18362914-1,0
SR-18365448-1,0
SR-18369731-1,0
SR-18374519-1,0
